loss,accuracy,val_loss,val_accuracy
0.615099310874939,0.5602259039878845,0.6062596440315247,0.5782725214958191
0.5388137698173523,0.6086680293083191,0.5837906002998352,0.5782725214958191
0.52774977684021,0.6086629033088684,0.5543253421783447,0.5782725214958191
0.5197780728340149,0.6086629033088684,0.5417683124542236,0.5782725214958191
0.5128554105758667,0.6086629033088684,0.5335807800292969,0.5782725214958191
0.5032891035079956,0.6086629033088684,0.5212185382843018,0.5782725214958191
0.491476833820343,0.6086629033088684,0.5002202987670898,0.5782725214958191
0.4694797992706299,0.6086629033088684,0.46316710114479065,0.5782725214958191
0.44974595308303833,0.6086629033088684,0.4548757076263428,0.5782725214958191
0.4248887598514557,0.6086629033088684,0.4071820080280304,0.5782725214958191
